N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
-1.5515502114447346,-0.09952182616196872,0.5204415584735029,-0.06475831797273829,0.5388623782431707,0.3671415577819685,-0.325776944329848,-1.1520193594893262,-1.4347091349512553,-0.39135529713977085,0.07060187865587261,-1.616226242361798,0.3642402703311478,0.0
-0.5141106943718131,-0.47220812975061316,-1.353762329526656,0.684580078583516,1.4628845875014853,1.5821641851076524,0.36634950790843585,-0.6485656543317946,-1.2242569471466385,1.2818811026236114,-1.418780093315756,0.9396607202630233,1.5766480431392458,0.0
-1.205737039087094,0.2392839043731627,1.8543344156988413,0.5440791292292172,-0.24300256805232617,1.7509173277917753,0.05017348392563463,-0.6485656543317946,-1.2242569471466385,1.3470721311858211,-1.4674025288268573,0.9396607202630233,1.7450380115848152,0.0
-1.2887322004529278,-0.7093721411252052,-0.1971590292743057,0.7782473781530457,0.25454785231753524,1.1771566426657576,0.36634950790843585,-0.31292985089343983,-1.3467018564147792,1.2601507597695414,-1.4801979065929367,0.9396607202630233,1.17251211886988,0.0
0.2743433386036072,0.34092562353370237,-0.45887218480585945,0.7314137283682808,-1.024867514347823,0.9071516143711614,2.1606491344512575,-1.0681104086297375,-1.2625209812929326,1.6078362454346597,-1.5364975687636857,0.9396607202630233,0.9030881693569693,1.0
-0.4172830061116738,-0.09952182616196872,-0.45887218480585945,-0.205259267327037,0.7520982726873974,0.4346428148556177,2.118506319556662,-0.061202998314674205,-1.3007850154392264,-0.10886084003686215,-1.5979153820408663,0.9396607202630233,0.43159625770937543,0.0
-0.4172830061116738,-0.5738498489111525,-2.3330760728060183,0.684580078583516,-0.8116316199035968,0.7383984716870389,0.30636527908907707,-0.31292985089343983,-1.2893058051953383,0.21709430277418637,-1.6465378175519674,0.9396607202630233,0.7346982009114,0.0
-0.5971058557376469,-0.6416109950181789,-0.821893658607692,0.7314137283682808,0.3256264837989441,0.33339092924514396,0.3906509088782668,-0.4807477526126172,-1.2931322086099677,-0.7173104399508193,-1.5364975687636857,0.9396607202630233,0.3305622766420342,0.0
1.1457925329448613,2.0349542762093593,-0.644604101634704,0.17779963238645893,-0.4562384624965528,0.08947463878661774,0.7488648354823242,1.1135223137195664,-0.28296170714780716,0.2822853313363961,0.19855565631666544,-0.4968888030281742,1.947105973719498,2.0
0.537161349595414,-0.09952182616196872,0.5204415584735029,0.4972454794444524,-0.740552988422188,0.2658896721714952,0.26422246419448187,2.1204297240346297,-1.3007850154392264,-0.021939468620582724,-1.5364975687636857,0.9396607202630233,0.26320628926380657,1.0
-1.5515502114447346,-0.2689246914295344,2.0316239726718295,0.35674453009015367,-1.522417934717685,0.6371465860765652,0.980650317402597,2.623883429192161,-1.3964451008049612,0.43439773131488507,-1.454607151060778,0.9396607202630233,0.6336642198440584,0.0
